Constituency_No,Constituency_Name,Candidate,Party,Votes,Position,Alliance,Constituency_Type,Basmati,Region,Area,District_Name,Vote_Share_Percentage,Margin,Margin_Percentage,ENOP,Winner in 2019,Recontesting?,Agri,
3,NARAINGARH,HARBILAS SINGH,Bahujan Samaj Party,27440,3,INLD+,GEN,Low,North Haryana,Rural,AMBALA,19.4,,,2,,No,50 - 65%,
3,NARAINGARH,GURPAL SINGH,Aam Aadmi Party,3261,4,AAP,GEN,Low,North Haryana,Rural,AMBALA,2.3,,,2,,No,50 - 65%,
3,NARAINGARH,NOTA,None of the Above,410,5,Others,GEN,Low,North Haryana,Rural,AMBALA,0.3,,,2,,No,50 - 65%,
3,NARAINGARH,NEETU,Independent,316,6,Others,GEN,Low,North Haryana,Rural,AMBALA,0.2,,,2,BJP,No,50 - 65%,
3,NARAINGARH,SEEMA DEVI,Bhartiya Shakti Chetna Party,299,7,Others,GEN,Low,North Haryana,Rural,AMBALA,0.2,,,2,,No,50 - 65%,
3,NARAINGARH,DHARAMPAL,Independent,297,8,Others,GEN,Low,North Haryana,Rural,AMBALA,0.2,,,2,,No,50 - 65%,
4,AMBALA CANTT.,ANIL VIJ,Bharatiya Janata Party,59858,1,BJP,GEN,Low,North Haryana,Urban,AMBALA,44.9,7277,5.5,2,,Yes,50 - 65%,
4,AMBALA CANTT.,CHITRA SARWARA,Independent,52581,2,Others,GEN,Low,North Haryana,Urban,AMBALA,39.4,,,2,,No,50 - 65%,
4,AMBALA CANTT.,PARVINDER PAL PARI,Indian National Congress,14469,3,INC+,GEN,Low,North Haryana,Urban,AMBALA,10.9,,,2,,No,50 - 65%,
4,AMBALA CANTT.,ONKAR SINGH,Indian National Lok Dal,2863,4,INLD+,GEN,Low,North Haryana,Urban,AMBALA,2.1,,,2,,No,50 - 65%,
4,AMBALA CANTT.,AVTAR SINGH,Jannayak Janta Party,809,5,JNJP+,GEN,Low,North Haryana,Urban,AMBALA,0.6,,,2,,No,50 - 65%,
4,AMBALA CANTT.,DHARMESH SOOD RINKU,Independent,764,6,Others,GEN,Low,North Haryana,Urban,AMBALA,0.6,,,2,,No,50 - 65%,
4,AMBALA CANTT.,NOTA,None of the Above,641,7,Others,GEN,Low,North Haryana,Urban,AMBALA,0.5,,,2,,No,50 - 65%,
4,AMBALA CANTT.,RAJ KAUR GILL,Aam Aadmi Party,524,8,AAP,GEN,Low,North Haryana,Urban,AMBALA,0.4,,,2,,No,50 - 65%,
4,AMBALA CANTT.,NAVEEN KUMAR,Yuga Thulasi Party,334,9,Others,GEN,Low,North Haryana,Urban,AMBALA,0.3,,,2,BJP,No,50 - 65%,
4,AMBALA CANTT.,NAVEEN BIDLA,Independent,234,10,Others,GEN,Low,North Haryana,Urban,AMBALA,0.2,,,2,,No,50 - 65%,
4,AMBALA CANTT.,JASWINDER GOLU,Independent,146,11,Others,GEN,Low,North Haryana,Urban,AMBALA,0.1,,,2,,No,50 - 65%,
4,AMBALA CANTT.,SUNIL VERMA,Independent,100,12,Others,GEN,Low,North Haryana,Urban,AMBALA,0.1,,,2,,No,50 - 65%,
5,AMBALA CITY,NIRMAL SINGH MOHRA,Indian National Congress,84475,1,INC+,GEN,Low,North Haryana,Semi-urban,AMBALA,51,11131,6.7,2,,No,50 - 65%,
5,AMBALA CITY,ASEEM GOEL NANEOLA,Bharatiya Janata Party,73344,2,BJP,GEN,Low,North Haryana,Semi-urban,AMBALA,44.3,,,2,,Yes,50 - 65%,
5,AMBALA CITY,PARUL NAGPAL UDAIPURIA,Aazad Samaj Party (Kanshi Ram),2423,3,JNJP+,GEN,Low,North Haryana,Semi-urban,AMBALA,1.5,,,2,,No,50 - 65%,
5,AMBALA CITY,KETAN SHARMA,Aam Aadmi Party,1492,4,AAP,GEN,Low,North Haryana,Semi-urban,AMBALA,0.9,,,2,,No,50 - 65%,
5,AMBALA CITY,NOTA,None of the Above,1371,5,Others,GEN,Low,North Haryana,Semi-urban,AMBALA,0.8,,,2,,No,50 - 65%,
5,AMBALA CITY,MALKIT SINGH BHANOKHERI,Bahujan Samaj Party,1305,6,INLD+,GEN,Low,North Haryana,Semi-urban,AMBALA,0.8,,,2,,No,50 - 65%,
5,AMBALA CITY,SATNAM SINGH,Independent,629,7,Others,GEN,Low,North Haryana,Semi-urban,AMBALA,0.4,,,2,,No,50 - 65%,
5,AMBALA CITY,BHUPINDER,Independent,166,8,Others,GEN,Low,North Haryana,Semi-urban,AMBALA,0.1,,,2,INC+,No,50 - 65%,
5,AMBALA CITY,SUNIL DUTT,Independent,138,9,Others,GEN,Low,North Haryana,Semi-urban,AMBALA,0.1,,,2,,No,50 - 65%,
5,AMBALA CITY,MAYUR NANDA,Independent,137,10,Others,GEN,Low,North Haryana,Semi-urban,AMBALA,0.1,,,2,,No,50 - 65%,
5,AMBALA CITY,SACHIN KUMAR,Independent,124,11,Others,GEN,Low,North Haryana,Semi-urban,AMBALA,0.1,,,2,,No,50 - 65%,
5,AMBALA CITY,LALIT WALIA,Independent,97,12,Others,GEN,Low,North Haryana,Semi-urban,AMBALA,0.1,,,2,,No,50 - 65%,
6,MULANA,POOJA,Indian National Congress,79089,1,INC+,SC,Low,North Haryana,Semi-rural,AMBALA,49.5,12865,8,2,,No,50 - 65%,
6,MULANA,SANTOSH CHAUHAN SARWAN,Bharatiya Janata Party,66224,2,BJP,SC,Low,North Haryana,Semi-rural,AMBALA,41.4,,,2,,No,50 - 65%,
6,MULANA,PRAKASH BHARTI,Indian National Lok Dal,8096,3,INLD+,SC,Low,North Haryana,Semi-rural,AMBALA,5.1,,,2,,No,50 - 65%,
6,MULANA,DR RAVINDER DHEEN,Jannayak Janta Party,1566,4,JNJP+,SC,Low,North Haryana,Semi-rural,AMBALA,1,,,2,,No,50 - 65%,
6,MULANA,DALIP SINGH,Independent,1193,5,Others,SC,Low,North Haryana,Semi-rural,AMBALA,0.7,,,2,,No,50 - 65%,
6,MULANA,GURTEJ SINGH,Aam Aadmi Party,1071,6,AAP,SC,Low,North Haryana,Semi-rural,AMBALA,0.7,,,2,INC+,No,50 - 65%,
6,MULANA,AJAIB SINGH SODHI,Independent,699,7,Others,SC,Low,North Haryana,Semi-rural,AMBALA,0.4,,,2,,No,50 - 65%,
6,MULANA,PRITAM SINGH,Rashtrawadi Janlok Party (Satya),658,8,Others,SC,Low,North Haryana,Semi-rural,AMBALA,0.4,,,2,,No,50 - 65%,
6,MULANA,NOTA,None of the Above,480,9,Others,SC,Low,North Haryana,Semi-rural,AMBALA,0.3,,,2,,No,50 - 65%,
6,MULANA,HAVELI RAM,Independent,465,10,Others,SC,Low,North Haryana,Semi-rural,AMBALA,0.3,,,2,,No,50 - 65%,
6,MULANA,HARKESH KUMAR,Independent,296,11,Others,SC,Low,North Haryana,Semi-rural,AMBALA,0.2,,,2,,No,50 - 65%,
7,SADHAURA,RENU BALA,Indian National Congress,57534,1,INC+,SC,Low,North Haryana,Rural,YAMUNANAGAR,33,1699,1,3,,Yes,50 - 65%,
7,SADHAURA,BALWANT SINGH,Bharatiya Janata Party,55835,2,BJP,SC,Low,North Haryana,Rural,YAMUNANAGAR,32.1,,,3,,No,50 - 65%,
7,SADHAURA,BRIJ PAL,Bahujan Samaj Party,53496,3,INLD+,SC,Low,North Haryana,Rural,YAMUNANAGAR,30.7,,,3,,No,50 - 65%,
7,SADHAURA,SOHIL,Aazad Samaj Party (Kanshi Ram),4467,4,JNJP+,SC,Low,North Haryana,Rural,YAMUNANAGAR,2.6,,,3,BJP,No,50 - 65%,
7,SADHAURA,RITA RANI,Aam Aadmi Party,938,5,AAP,SC,Low,North Haryana,Rural,YAMUNANAGAR,0.5,,,3,,No,50 - 65%,
7,SADHAURA,NOTA,None of the Above,605,6,Others,SC,Low,North Haryana,Rural,YAMUNANAGAR,0.3,,,3,,No,50 - 65%,
7,SADHAURA,BETA MAMCHAND RATTU,Independent,437,7,Others,SC,Low,North Haryana,Rural,YAMUNANAGAR,0.3,,,3,,No,50 - 65%,
7,SADHAURA,JAI PAL,Bhartiya Panchyat Party,335,8,Others,SC,Low,North Haryana,Rural,YAMUNANAGAR,0.2,,,3,,No,50 - 65%,
7,SADHAURA,JASBIR SINGH,Bhartiya Shakti Chetna Party,291,9,Others,SC,Low,North Haryana,Rural,YAMUNANAGAR,0.2,,,3,,No,50 - 65%,
7,SADHAURA,POOJA NAGRA,Independent,212,10,Others,SC,Low,North Haryana,Rural,YAMUNANAGAR,0.1,,,3,,No,50 - 65%,
8,JAGADHRI,AKRAM KHAN,Indian National Congress,67403,1,INC+,GEN,Low,North Haryana,Rural,YAMUNANAGAR,36.8,6868,3.8,3,,No,50 - 65%,
8,JAGADHRI,KANWAR PAL,Bharatiya Janata Party,60535,2,BJP,GEN,Low,North Haryana,Rural,YAMUNANAGAR,33.1,,,3,,Yes,50 - 65%,
8,JAGADHRI,ADARSH PAL SINGH,Aam Aadmi Party,43813,3,AAP,GEN,Low,North Haryana,Rural,YAMUNANAGAR,23.9,,,3,,No,50 - 65%,
8,JAGADHRI,DARSHAN LAL,Bahujan Samaj Party,6436,4,INLD+,GEN,Low,North Haryana,Rural,YAMUNANAGAR,3.5,,,3,,No,50 - 65%,
8,JAGADHRI,ASHOK KUMAR,Aazad Samaj Party (Kanshi Ram),2684,5,JNJP+,GEN,Low,North Haryana,Rural,YAMUNANAGAR,1.5,,,3,BJP,No,50 - 65%,
8,JAGADHRI,NOTA,None of the Above,749,6,Others,GEN,Low,North Haryana,Rural,YAMUNANAGAR,0.4,,,3,,No,50 - 65%,
8,JAGADHRI,YOGESH SETHI (YOGI),Independent,398,7,Others,GEN,Low,North Haryana,Rural,YAMUNANAGAR,0.2,,,3,,No,50 - 65%,
8,JAGADHRI,DR. NITESH CHOPRA (HONEY),Bhartiya Shakti Chetna Party,310,8,Others,GEN,Low,North Haryana,Rural,YAMUNANAGAR,0.2,,,3,,No,50 - 65%,
8,JAGADHRI,YAJUVINDER SINGH,Independent,275,9,Others,GEN,Low,North Haryana,Rural,YAMUNANAGAR,0.2,,,3,,No,50 - 65%,
8,JAGADHRI,ADITYA KUMAR SHASTRI,Independent,166,10,Others,GEN,Low,North Haryana,Rural,YAMUNANAGAR,0.1,,,3,,No,50 - 65%,
8,JAGADHRI,SONI,Indian Praja Congress,149,11,Others,GEN,Low,North Haryana,Rural,YAMUNANAGAR,0.1,,,3,,No,50 - 65%,
8,JAGADHRI,GURDEV SINGH,Independent,114,12,Others,GEN,Low,North Haryana,Rural,YAMUNANAGAR,0.1,,,3,,No,50 - 65%,
9,YAMUNANAGAR,GHANSHYAM DASS,Bharatiya Janata Party,73185,1,BJP,GEN,Low,North Haryana,Semi-urban,YAMUNANAGAR,44.6,22437,13.7,2,,Yes,50 - 65%,
9,YAMUNANAGAR,RAMAN TYAGI,Indian National Congress,50748,2,INC+,GEN,Low,North Haryana,Semi-urban,YAMUNANAGAR,30.9,,,2,,No,50 - 65%,
9,YAMUNANAGAR,DILBAG SINGH,Indian National Lok Dal,36067,3,INLD+,GEN,Low,North Haryana,Semi-urban,YAMUNANAGAR,22,,,2,INC+,No,50 - 65%,
9,YAMUNANAGAR,LALIT KUMAR TYAGI,Aam Aadmi Party,1655,4,AAP,GEN,Low,North Haryana,Semi-urban,YAMUNANAGAR,1,,,2,,No,50 - 65%,
9,YAMUNANAGAR,NOTA,None of the Above,735,5,Others,GEN,Low,North Haryana,Semi-urban,YAMUNANAGAR,0.4,,,2,,No,50 - 65%,
9,YAMUNANAGAR,INTZAR ALI,Jannayak Janta Party,494,6,JNJP+,GEN,Low,North Haryana,Semi-urban,YAMUNANAGAR,0.3,,,2,,No,50 - 65%,
9,YAMUNANAGAR,KAPIL,Independent,278,7,Others,GEN,Low,North Haryana,Semi-urban,YAMUNANAGAR,0.2,,,2,,No,50 - 65%,
9,YAMUNANAGAR,MANGA RAM,Peoples Party of India (Democratic),246,8,Others,GEN,Low,North Haryana,Semi-urban,YAMUNANAGAR,0.1,,,2,,No,50 - 65%,
9,YAMUNANAGAR,NIRMALJEET KAUR,Indian Praja Congress,234,9,Others,GEN,Low,North Haryana,Semi-urban,YAMUNANAGAR,0.1,,,2,,No,50 - 65%,
9,YAMUNANAGAR,SUKHWINDER,Independent,229,10,Others,GEN,Low,North Haryana,Semi-urban,YAMUNANAGAR,0.1,,,2,,No,50 - 65%,
9,YAMUNANAGAR,KANCHAN SHARMA,Bhartiya Shakti Chetna Party,142,11,Others,GEN,Low,North Haryana,Semi-urban,YAMUNANAGAR,0.1,,,2,,No,50 - 65%,
10,RADAUR,SHYAM SINGH RANA,Bharatiya Janata Party,73348,1,BJP,GEN,Low,North Haryana,Semi-rural,YAMUNANAGAR,47.9,13132,8.6,2,,No,50 - 65%,
10,RADAUR,DR. BISHAN LAL SAINI,Indian National Congress,60216,2,INC+,GEN,Low,North Haryana,Semi-rural,YAMUNANAGAR,39.4,,,2,INC+,No,50 - 65%,
10,RADAUR,DHARAMPAL TIGRA,Bahujan Samaj Party,11182,3,INLD+,GEN,Low,North Haryana,Semi-rural,YAMUNANAGAR,7.3,,,2,,No,50 - 65%,
10,RADAUR,BHIM SINGH RATHI,Aam Aadmi Party,3245,4,AAP,GEN,Low,North Haryana,Semi-rural,YAMUNANAGAR,2.1,,,2,,No,50 - 65%,
10,RADAUR,MANDEEP TOPRA,Aazad Samaj Party (Kanshi Ram),2959,5,JNJP+,GEN,Low,North Haryana,Semi-rural,YAMUNANAGAR,1.9,,,2,,No,50 - 65%,
10,RADAUR,DIWAN CHAND KAMBOJ,Bhartiya Shakti Chetna Party,606,6,Others,GEN,Low,North Haryana,Semi-rural,YAMUNANAGAR,0.4,,,2,,No,50 - 65%,
10,RADAUR,NOTA,None of the Above,538,7,Others,GEN,Low,North Haryana,Semi-rural,YAMUNANAGAR,0.4,,,2,,No,50 - 65%,
10,RADAUR,JAI PARKASH SHARMA,Independent,312,8,Others,GEN,Low,North Haryana,Semi-rural,YAMUNANAGAR,0.2,,,2,,No,50 - 65%,
10,RADAUR,DAYANAND,Ambedkar Samaj Vikas Party,261,9,Others,GEN,Low,North Haryana,Semi-rural,YAMUNANAGAR,0.2,,,2,,No,50 - 65%,
10,RADAUR,ANIL KUMAR BATTA,Independent,177,10,Others,GEN,Low,North Haryana,Semi-rural,YAMUNANAGAR,0.1,,,2,,No,50 - 65%,
10,RADAUR,ASHOK KUMAR,Independent,174,11,Others,GEN,Low,North Haryana,Semi-rural,YAMUNANAGAR,0.1,,,2,,No,50 - 65%,
11,LADWA,NAYAB SINGH,Bharatiya Janata Party,70177,1,BJP,GEN,Medium,North Haryana,Rural,KURUKSHETRA,47.4,16054,10.8,2,,No,50 - 65%,
11,LADWA,MEWA SINGH,Indian National Congress,54123,2,INC+,GEN,Medium,North Haryana,Rural,KURUKSHETRA,36.6,,,2,,Yes,50 - 65%,
11,LADWA,VIKRAMJEET SINGH CHEEMA,Independent,11191,3,Others,GEN,Medium,North Haryana,Rural,KURUKSHETRA,7.6,,,2,,No,50 - 65%,
11,LADWA,SAPNA BARSHAMI,Indian National Lok Dal,7439,4,INLD+,GEN,Medium,North Haryana,Rural,KURUKSHETRA,5,,,2,,No,50 - 65%,
11,LADWA,SANDEEP GARG LADWA,Independent,2262,5,Others,GEN,Medium,North Haryana,Rural,KURUKSHETRA,1.5,,,2,,No,50 - 65%,
11,LADWA,JOGA SINGH UMRI,Aam Aadmi Party,632,6,AAP,GEN,Medium,North Haryana,Rural,KURUKSHETRA,0.4,,,2,,No,50 - 65%,
11,LADWA,KASHYAP RAM CHANDER,Independent,611,7,Others,GEN,Medium,North Haryana,Rural,KURUKSHETRA,0.4,,,2,JNJP+,No,50 - 65%,
11,LADWA,ASHOK SAINI HAMID PUR,Independent,415,8,Others,GEN,Medium,North Haryana,Rural,KURUKSHETRA,0.3,,,2,,No,50 - 65%,
11,LADWA,BHAJAN SINGH,Independent,265,9,Others,GEN,Medium,North Haryana,Rural,KURUKSHETRA,0.2,,,2,,No,50 - 65%,
11,LADWA,NOTA,None of the Above,211,10,Others,GEN,Medium,North Haryana,Rural,KURUKSHETRA,0.1,,,2,,No,50 - 65%,
11,LADWA,VINOD KUMAR SHARMA,Jannayak Janta Party,205,11,JNJP+,GEN,Medium,North Haryana,Rural,KURUKSHETRA,0.1,,,2,,No,50 - 65%,
11,LADWA,VIKRAM SINGH SAINI,Bhartiya Shakti Chetna Party,144,12,Others,GEN,Medium,North Haryana,Rural,KURUKSHETRA,0.1,,,2,,No,50 - 65%,
11,LADWA,MAN SINGH BAPDA,Peoples Party of India (Democratic),133,13,Others,GEN,Medium,North Haryana,Rural,KURUKSHETRA,0.1,,,2,,No,50 - 65%,
11,LADWA,RAJKUMAR,Independent,100,14,Others,GEN,Medium,North Haryana,Rural,KURUKSHETRA,0.1,,,2,,No,50 - 65%,
11,LADWA,SATISH KUMAR,Rashtriya Garib Dal,69,15,Others,GEN,Medium,North Haryana,Rural,KURUKSHETRA,0,,,2,,No,50 - 65%,
11,LADWA,SUBHASH SAINI,Bhartiya Sarvodaya Party,48,16,Others,GEN,Medium,North Haryana,Rural,KURUKSHETRA,0,,,2,BJP,No,50 - 65%,
11,LADWA,PARVEEN KUMAR,Independent,43,17,Others,GEN,Medium,North Haryana,Rural,KURUKSHETRA,0,,,2,,No,50 - 65%,
12,SHAHBAD,RAM KARAN,Indian National Congress,61050,1,INC+,SC,Medium,North Haryana,Rural,KURUKSHETRA,50.4,6441,5.3,2,,Yes,50 - 65%,
12,SHAHBAD,SUBHASH CHAND,Bharatiya Janata Party,54609,2,BJP,SC,Medium,North Haryana,Rural,KURUKSHETRA,45.1,,,2,,No,50 - 65%,
12,SHAHBAD,CHANDER BHAN CHAUHAN,Bahujan Samaj Party,1638,3,INLD+,SC,Medium,North Haryana,Rural,KURUKSHETRA,1.4,,,2,,No,50 - 65%,
12,SHAHBAD,KANTA AALLDIA,Mission Ekta Party,1333,4,Others,SC,Medium,North Haryana,Rural,KURUKSHETRA,1.1,,,2,,No,50 - 65%,
12,SHAHBAD,ASHA RANI,Aam Aadmi Party,932,5,AAP,SC,Medium,North Haryana,Rural,KURUKSHETRA,0.8,,,2,,No,50 - 65%,
12,SHAHBAD,NOTA,None of the Above,438,6,Others,SC,Medium,North Haryana,Rural,KURUKSHETRA,0.4,,,2,,No,50 - 65%,
12,SHAHBAD,RAJEETA SINGH,Jannayak Janta Party,431,7,JNJP+,SC,Medium,North Haryana,Rural,KURUKSHETRA,0.4,,,2,,No,50 - 65%,
12,SHAHBAD,PAWAN KUMAR,Independent,358,8,Others,SC,Medium,North Haryana,Rural,KURUKSHETRA,0.3,,,2,BJP,No,50 - 65%,
12,SHAHBAD,RAJESH KANIPLA,Independent,235,9,Others,SC,Medium,North Haryana,Rural,KURUKSHETRA,0.2,,,2,,No,50 - 65%,
12,SHAHBAD,SHIV NATH,Independent,185,10,Others,SC,Medium,North Haryana,Rural,KURUKSHETRA,0.2,,,2,,No,50 - 65%,
13,THANESAR,ASHOK KUMAR ARORA,Indian National Congress,70076,1,INC+,GEN,Medium,North Haryana,Semi-urban,KURUKSHETRA,48.9,3243,2.3,2,,No,50 - 65%,
13,THANESAR,SUBHASH SUDHA,Bharatiya Janata Party,66833,2,BJP,GEN,Medium,North Haryana,Semi-urban,KURUKSHETRA,46.7,,,2,,Yes,50 - 65%,
13,THANESAR,KRISHAN BAJAJ,Aam Aadmi Party,2948,3,AAP,GEN,Medium,North Haryana,Semi-urban,KURUKSHETRA,2.1,,,2,,No,50 - 65%,
13,THANESAR,TANUJA,Bahujan Samaj Party,1709,4,INLD+,GEN,Medium,North Haryana,Semi-urban,KURUKSHETRA,1.2,,,2,,No,50 - 65%,
13,THANESAR,NOTA,None of the Above,798,5,Others,GEN,Medium,North Haryana,Semi-urban,KURUKSHETRA,0.6,,,2,,No,50 - 65%,
13,THANESAR,SURYA PARTAP SINGH RATHORE,Jannayak Janta Party,385,6,JNJP+,GEN,Medium,North Haryana,Semi-urban,KURUKSHETRA,0.3,,,2,,No,50 - 65%,
13,THANESAR,ABHISHEK PUNIA,Independent,159,7,Others,GEN,Medium,North Haryana,Semi-urban,KURUKSHETRA,0.1,,,2,JNJP+,No,50 - 65%,
13,THANESAR,JAIVEER SINGH RANGA,Republican Party of India (A),141,8,Others,GEN,Medium,North Haryana,Semi-urban,KURUKSHETRA,0.1,,,2,,No,50 - 65%,
13,THANESAR,MEHAR,Independent,92,9,Others,GEN,Medium,North Haryana,Semi-urban,KURUKSHETRA,0.1,,,2,,No,50 - 65%,
13,THANESAR,ASHOK KUMAR,Independent,71,10,Others,GEN,Medium,North Haryana,Semi-urban,KURUKSHETRA,0,,,2,,No,50 - 65%,
14,PEHOWA,MANDEEP CHATHA,Indian National Congress,64548,1,INC+,GEN,Medium,North Haryana,Rural,KURUKSHETRA,50.2,6553,5.1,2,,No,50 - 65%,
14,PEHOWA,JAI BHAGWAN SHARMA (DD),Bharatiya Janata Party,57995,2,BJP,GEN,Medium,North Haryana,Rural,KURUKSHETRA,45.1,,,2,,No,50 - 65%,
14,PEHOWA,BALDEV SINGH WARAICH,Indian National Lok Dal,1772,3,INLD+,GEN,Medium,North Haryana,Rural,KURUKSHETRA,1.4,,,2,,No,50 - 65%,
14,PEHOWA,DR. SUKHWINDER KAUR,Jannayak Janta Party,1253,4,JNJP+,GEN,Medium,North Haryana,Rural,KURUKSHETRA,1,,,2,,No,50 - 65%,
14,PEHOWA,GURNAM SINGH,Sanyukt Sangharsh Party,1170,5,Others,GEN,Medium,North Haryana,Rural,KURUKSHETRA,0.9,,,2,,No,50 - 65%,
14,PEHOWA,GEHAL SINGH SANDHU,Aam Aadmi Party,890,6,AAP,GEN,Medium,North Haryana,Rural,KURUKSHETRA,0.7,,,2,BJP,No,50 - 65%,
14,PEHOWA,RAJAT SHARMA ISMAILABAD,Independent,395,7,Others,GEN,Medium,North Haryana,Rural,KURUKSHETRA,0.3,,,2,,No,50 - 65%,
14,PEHOWA,NOTA,None of the Above,306,8,Others,GEN,Medium,North Haryana,Rural,KURUKSHETRA,0.2,,,2,,No,50 - 65%,
14,PEHOWA,SHYAM LAL GUMTHALA GARHU,Independent,166,9,Others,GEN,Medium,North Haryana,Rural,KURUKSHETRA,0.1,,,2,,No,50 - 65%,
14,PEHOWA,KULDEEP SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),107,10,Others,GEN,Medium,North Haryana,Rural,KURUKSHETRA,0.1,,,2,,No,50 - 65%,
15,GUHLA,DEVENDER HANS,Indian National Congress,64611,1,INC+,SC,Medium,North Haryana,Rural,KAITHAL,48.3,22880,17.1,2,,No,More than 65%,
15,GUHLA,KULWANT RAM BAZIGAR,Bharatiya Janata Party,41731,2,BJP,SC,Medium,North Haryana,Rural,KAITHAL,31.2,,,2,,No,More than 65%,
15,GUHLA,NARESH KUMAR,Independent,12437,3,Others,SC,Medium,North Haryana,Rural,KAITHAL,9.3,,,2,,No,More than 65%,
15,GUHLA,KRISHAN KUMAR,Jannayak Janta Party,5768,4,JNJP+,SC,Medium,North Haryana,Rural,KAITHAL,4.3,,,2,,No,More than 65%,
15,GUHLA,RAKESH KUMAR,Aam Aadmi Party,4540,5,AAP,SC,Medium,North Haryana,Rural,KAITHAL,3.4,,,2,,No,More than 65%,
15,GUHLA,POONAM RANI,Indian National Lok Dal,2409,6,INLD+,SC,Medium,North Haryana,Rural,KAITHAL,1.8,,,2,,No,More than 65%,
15,GUHLA,AMARJEET SINGH,Independent,1051,7,Others,SC,Medium,North Haryana,Rural,KAITHAL,0.8,,,2,,No,More than 65%,
15,GUHLA,NOTA,None of the Above,702,8,Others,SC,Medium,North Haryana,Rural,KAITHAL,0.5,,,2,,No,More than 65%,
15,GUHLA,BHUPINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),399,9,Others,SC,Medium,North Haryana,Rural,KAITHAL,0.3,,,2,,No,More than 65%,
15,GUHLA,MANOJ KUMAR,Mission Ekta Party,228,10,Others,SC,Medium,North Haryana,Rural,KAITHAL,0.2,,,2,BJP,No,More than 65%,
